country,India,,,
city,Ludhiana,,,
,,,,
Year,Sum of avg_temp,Moving Average,Ludhiana,Global
1981,23.98,23.928,23.928,8.936
1982,23.45,23.907,23.907,8.937
1983,23.11,23.941,23.941,8.957
1984,23.9,24.064,24.064,8.941
1985,24.44,24.103,24.103,8.976
1986,23.55,24.063,24.063,9.045
1987,24.52,24.089,24.089,9.066
1988,24.61,23.963,23.963,9.087
1989,23.62,23.936,23.936,9.119
1990,24.1,24.064,24.064,9.156
1991,23.77,24.111,24.111,9.153
1992,23.79,24.184,24.184,9.176
1993,24.34,24.296,24.296,9.249
1994,24.29,24.272,24.272,9.315
1995,24.04,24.328,24.328,9.343
1996,23.81,24.336,24.336,9.378
1997,23.26,24.427,24.427,9.427
1998,24.34,24.561,24.561,9.48
1999,24.9,24.552,24.552,9.471
2000,24.57,24.549,24.549,9.493
2001,24.5,24.59,24.59,9.543
2002,24.91,24.575,24.575,9.554
2003,24.1,24.521,24.521,9.548
2004,24.85,24.655,24.655,9.556
2005,24.12,436.871,436.871,9.581
2006,24.72,482.7322222,482.7322222,9.594
2007,24.6,539.98375,539.98375,9.601111111
2008,24.25,613.61,613.61,9.585
2009,24.87,711.8366667,711.8366667,9.607142857
2010,24.98,849.23,849.23,9.623333333
2011,24.35,1055.2925,1055.2925,9.608
2012,24.37,1398.94,1398.94,9.63
2013,25.44,2086.225,2086.225,9.67
Grand Total,4147.01,,,
